GKZ;Gemeindename;BEZEICHNUNG
60209;Kapfenberg;Haydngasse
60209;Kapfenberg;Heimgasse
60209;Kapfenberg;Heimsiedlung
60209;Kapfenberg;Heimsiedlungsgasse
60209;Kapfenberg;Heinrich-Scheibengraf-Straße
60209;Kapfenberg;Hermann-Löns-Straße
60209;Kapfenberg;Hugo-v.-Hofmannsthal-Weg
60209;Kapfenberg;Hugo-Wolf-Straße
60209;Kapfenberg;Ignaz-Semmelweis-Weg
60209;Kapfenberg;Igo-Etrich-Straße
60209;Kapfenberg;Industriepark
60209;Kapfenberg;Industriestraße Ost
60209;Kapfenberg;Industriestraße West
60209;Kapfenberg;Johann-Böhm-Straße
60209;Kapfenberg;Johann-Brandl-Gasse
60209;Kapfenberg;Johannes-Kepler-Weg
60209;Kapfenberg;Johann-Josef-Fux-Straße
60209;Kapfenberg;Johann-Nestroy-Straße
60209;Kapfenberg;Johann-Strauß-Gasse
60209;Kapfenberg;Josefine-Kettler-Gasse
60209;Kapfenberg;Josef-Madersperger-Weg
60209;Kapfenberg;Josef-Scheu-Straße
60209;Kapfenberg;Josef-Stanek-Gasse
60209;Kapfenberg;Karl-Heinrich-Waggerl-Weg
60209;Kapfenberg;Karl-Maisel-Hof
60209;Kapfenberg;Karl-Schöberl-Hof
60209;Kapfenberg;Karl-Seitz-Gasse
60209;Kapfenberg;Kehr
60209;Kapfenberg;Kendlbachstraße
60209;Kapfenberg;Kernstockgasse
60209;Kapfenberg;Koloman-Wallisch-Gasse
60209;Kapfenberg;Koloman-Wallisch-Platz
60209;Kapfenberg;Konrad-Kainz-Straße
60209;Kapfenberg;Kronawettersiedlung
60209;Kapfenberg;Krottendorf
60209;Kapfenberg;Krottendorfer Straße
60209;Kapfenberg;Lagergasse
60209;Kapfenberg;Lamingbachweg
60209;Kapfenberg;Lannergasse
60209;Kapfenberg;Lanzgraben
60209;Kapfenberg;Lastenstraße
60209;Kapfenberg;Laubengasse
60209;Kapfenberg;Laubtalweg
60209;Kapfenberg;Leharweg
60209;Kapfenberg;Leingraben
60209;Kapfenberg;Leingrabenweg
60209;Kapfenberg;Leitenweg
60209;Kapfenberg;Lenaugasse
60209;Kapfenberg;Lerchengasse
60209;Kapfenberg;Lessingstraße
60209;Kapfenberg;Lindenplatz
60209;Kapfenberg;Linke Mürzzeile
60209;Kapfenberg;Lorenziweg
60209;Kapfenberg;Ludwig-Anzengruber-Weg
60209;Kapfenberg;Ludwig-Boltzmann-Weg
60209;Kapfenberg;Ludwig-Brandner-Gasse
60209;Kapfenberg;Ludwig-Tuller-Gasse
60209;Kapfenberg;M.v.-Ebner-Eschenbach-Siedlung
60209;Kapfenberg;Maigasse
60209;Kapfenberg;Mariazeller Straße
60209;Kapfenberg;Marie-Jahoda-Gasse
60209;Kapfenberg;Martin-Luther-Platz
60209;Kapfenberg;Max-Mell-Weg
60209;Kapfenberg;Meierhofleiten
60209;Kapfenberg;Meierhofstraße
60209;Kapfenberg;Mozartgasse
60209;Kapfenberg;Mühlwiesenweg
60209;Kapfenberg;Mürzbogen
60209;Kapfenberg;Mürzgasse
60209;Kapfenberg;Nelkengasse
60209;Kapfenberg;Nierhammerweg
60209;Kapfenberg;Otto-Hauberger-Straße
60209;Kapfenberg;Parschluger Straße
60209;Kapfenberg;Paula Wallisch-Platz
60209;Kapfenberg;Pestalozzistraße
60209;Kapfenberg;Peter-Tunner-Gasse
60209;Kapfenberg;Pogierweg
60209;Kapfenberg;Pötschachgasse
60209;Kapfenberg;Pötschen
60209;Kapfenberg;Pötschenweg
60209;Kapfenberg;Quellengasse
60209;Kapfenberg;Quergasse
60209;Kapfenberg;Raiffeisenweg
60209;Kapfenberg;Raimundgasse
60209;Kapfenberg;Rainer-Maria-Rilke-Weg
60209;Kapfenberg;Rainweg-Süd
60209;Kapfenberg;Rathausgasse
60209;Kapfenberg;Rechte Mürzzeile
60209;Kapfenberg;Redfeldgasse
60209;Kapfenberg;Reinholzgasse
60209;Kapfenberg;Reiserstraße
60209;Kapfenberg;Reitergasse
60209;Kapfenberg;Rettengraben
60209;Kapfenberg;Richard-Wagner-Gasse
60209;Kapfenberg;Robert-Hamerling-Gasse
60209;Kapfenberg;Robert-Musil-Straße
60209;Kapfenberg;Robert-Schumann-Straße
60209;Kapfenberg;Roseggergasse
60209;Kapfenberg;Rosengasse
60209;Kapfenberg;Sackgasse
60209;Kapfenberg;Schillerstraße
60209;Kapfenberg;Schimpelhofgasse
60209;Kapfenberg;Schinitzgasse
60209;Kapfenberg;Schinitzhof
60209;Kapfenberg;Schirmitzbühelstraße
60209;Kapfenberg;Schloßberg
60209;Kapfenberg;Schloßbergweg
60209;Kapfenberg;Schmiedgasse
60209;Kapfenberg;Schörgendorf
60209;Kapfenberg;Schubertgasse
60209;Kapfenberg;Schulgasse
60209;Kapfenberg;Schwalbengasse
60209;Kapfenberg;Schweighardtweg
60209;Kapfenberg;Seilbahngasse
60209;Kapfenberg;Siebenbrünn-Gasse
60209;Kapfenberg;Siedlerweg
60209;Kapfenberg;Siegfried-Marcus-Straße
60209;Kapfenberg;Sonnenhangsiedlung
60209;Kapfenberg;St.-Martin-Weg
60209;Kapfenberg;Stadtwerkestraße
60209;Kapfenberg;Stefan-Jäger-Straße
60209;Kapfenberg;Stegg
60209;Kapfenberg;Steinerhofallee
60209;Kapfenberg;Stubenberggasse
60209;Kapfenberg;Teichgasse
60209;Kapfenberg;Thomas-Wölbitsch-Gasse
60209;Kapfenberg;Töllergraben
60209;Kapfenberg;Töllermayrgasse
60209;Kapfenberg;Tragösser Straße
60209;Kapfenberg;Uhlandgasse
60209;Kapfenberg;Untere Neusiedlung
60209;Kapfenberg;Viktor-Adler-Straße
60209;Kapfenberg;Viktor-Kaplan-Straße
60209;Kapfenberg;Waldemargasse
60209;Kapfenberg;Waldgasse
60209;Kapfenberg;Walfersamgasse
60209;Kapfenberg;Walther-v.-d.-Vogelweide-Straße
60209;Kapfenberg;Werk Deuchendorf
60209;Kapfenberg;Werk-VI-Straße
60209;Kapfenberg;Wiener Straße
60209;Kapfenberg;Wiesenweg
60209;Kapfenberg;Winkler Siedlung
60209;Kapfenberg;Winkler Straße
60209;Kapfenberg;Winkler Weg
60209;Kapfenberg;Zapfstraße
60209;Kapfenberg;Zöllgrabenweg
60210;Mariazell;Abt Otker-Gasse
60210;Mariazell;Abt Severin-Gasse
60210;Mariazell;Am Kreuzberg
60210;Mariazell;Annaburg
60210;Mariazell;Anton Bruckner-Gasse
60210;Mariazell;Arthur Krupp-Platz
60210;Mariazell;Bibergasse
60210;Mariazell;Bilgeriweg
60210;Mariazell;Brünnerweg
60210;Mariazell;Bürgeralpe
60210;Mariazell;Deutschmeisterweg
60210;Mariazell;Dr. Karl Lueger-Gasse
60210;Mariazell;Dr. Ludwig Leber-Straße
60210;Mariazell;Dr. Rudolf Griß Weg
60210;Mariazell;E. Rohrbacher-Gasse
60210;Mariazell;Erzherzog Johann-Weg
60210;Mariazell;Feichteggerwiese
60210;Mariazell;Fischer von Erlach-Weg
60210;Mariazell;Franz Schubert-Gasse
60210;Mariazell;Friedhofgasse
60210;Mariazell;Grazer Straße
60210;Mariazell;Hans Laufenstein-Weg
60210;Mariazell;Hans Wertanek-Promenade
60210;Mariazell;Hauptplatz
60210;Mariazell;Hauptplatz-Laden
60210;Mariazell;Heiligen Brunn-Gasse
60210;Mariazell;Heiligenbrunngasse-Laden
60210;Mariazell;Helleportweg
60210;Mariazell;Joseph Haydn-Gasse
60210;Mariazell;K.E.Tisserant-Platz
60210;Mariazell;Kalvarienberg
60210;Mariazell;Karl Heinschild-Weg
60210;Mariazell;Karmelweg
60210;Mariazell;König Ludwig-Gasse
60210;Mariazell;Mahrfeldweg
60210;Mariazell;Maria Theresien-Gasse
60210;Mariazell;Markgraf Heinrich-Gasse
60210;Mariazell;Morzingasse
60210;Mariazell;Neukoglerweg
60210;Mariazell;Ottokar Kernstock-Gasse
60210;Mariazell;Pater Heinrich Abel-Platz
60210;Mariazell;Pater Hermann Geist-Platz
60210;Mariazell;Pater Othmar Wonisch-Weg
60210;Mariazell;Peter Rosegger-Gasse
60210;Mariazell;Radkersburgerplatz
60210;Mariazell;Rasing
60210;Mariazell;Riedheimerweg
60210;Mariazell;Sandbühel
60210;Mariazell;Schießstattgasse
60210;Mariazell;Sonnenwiese
60210;Mariazell;Steinbruchweg
60210;Mariazell;Ungarnstraße
60210;Mariazell;Viktor Lang-Gasse
60210;Mariazell;Wertheimweg
60210;Mariazell;Widerhoferweg
60210;Mariazell;Wiener Neustädter Straße
60210;Mariazell;Wiener Straße
60211;Oberaich;Aichberghöhe
60211;Oberaich;Aichbergstraße
60211;Oberaich;Alt-Mitteraich
60211;Oberaich;Am Aichberg
60211;Oberaich;Am Bach
60211;Oberaich;Amselweg
60211;Oberaich;Antonistraße
60211;Oberaich;Blütenweg
60211;Oberaich;Bodenwiese
60211;Oberaich;Brucker Straße
60211;Oberaich;Dorfweg
60211;Oberaich;Fichtenweg
60211;Oberaich;Florianiweg
60211;Oberaich;Föhrenweg
60211;Oberaich;Forstwald
60211;Oberaich;Forstwaldstraße
60211;Oberaich;Forstweg
60211;Oberaich;Gröbl-Platz
60211;Oberaich;Hangweg
60211;Oberaich;Heuberg
60211;Oberaich;Kotzgraben
60211;Oberaich;Kreuzweg
60211;Oberaich;Landskronstraße
60211;Oberaich;Lindenweg
60211;Oberaich;Marienweg
60211;Oberaich;Maringhof
60211;Oberaich;Matzlstraße
60211;Oberaich;Mitteraich
60211;Oberaich;Mitteraichstraße
60211;Oberaich;Mittlerer Pichelweg
60211;Oberaich;Mötschlach
60211;Oberaich;Mötschlachstraße
60211;Oberaich;Murinsel
60211;Oberaich;Murweg
60211;Oberaich;Narzissenweg
60211;Oberaich;Oberaich
60211;Oberaich;Oberaichstraße
60211;Oberaich;Oberdorf
60211;Oberaich;Oberer Panoramaweg
60211;Oberaich;Oberer Pichelweg
60211;Oberaich;Oberes Kirchenviertel
60211;Oberaich;Panoramaweg
60211;Oberaich;Paulahofsiedlung
60211;Oberaich;Paulahofsiedlungsstraße
60211;Oberaich;Paulahofsiedlungsstraße A
60211;Oberaich;Paulahofsiedlungsstraße B
60211;Oberaich;Paulahofsiedlungsstraße C
60211;Oberaich;Paulahofsiedlungsstraße D
60211;Oberaich;Paulahofsiedlungsstraße E
60211;Oberaich;Paulahofsiedlungsstraße F
60211;Oberaich;Paulahofsiedlungsstraße G
60211;Oberaich;Paulahofsiedlungsstraße H
60211;Oberaich;Picheldorf
60211;Oberaich;Pöllweg
60211;Oberaich;Primelweg
60211;Oberaich;Quellenweg
60211;Oberaich;Ranchweg
60211;Oberaich;Raschbach
60211;Oberaich;Raschbachstraße
60211;Oberaich;Rebenweg
60211;Oberaich;Retzweg
60211;Oberaich;Römerweg
60211;Oberaich;Rosenweg
60211;Oberaich;Sankt Dionysen
60211;Oberaich;Sankt Dionysenstraße
60211;Oberaich;Sankt Ulrichstraße
60211;Oberaich;Schulsiedlung
60211;Oberaich;Sonneck
60211;Oberaich;Sonnkogel
60211;Oberaich;Sternenweg
60211;Oberaich;Streitgarn
60211;Oberaich;Streitgarnstraße
60211;Oberaich;Tannenweg
60211;Oberaich;Terrassenweg
60211;Oberaich;Tulpenweg
60211;Oberaich;Unteraich
60211;Oberaich;Unterer Pichelweg
60211;Oberaich;Unteres Kirchenviertel
60211;Oberaich;Urgental
60211;Oberaich;Utschgraben
60211;Oberaich;Utschmoarweg
60211;Oberaich;Utschtal
60211;Oberaich;Wogamoarweg
60211;Oberaich;Zum Madereck
60212;Parschlug;Adamerweg
60212;Parschlug;Alaungrubenweg
60212;Parschlug;Alexander-Silveri-Straße
60212;Parschlug;Am Anger
60212;Parschlug;Am Flöz
60212;Parschlug;Am Kreuzacker
60212;Parschlug;Am Moos
60212;Parschlug;Am Tauchnergrund
60212;Parschlug;Auf der Weide
60212;Parschlug;Barbarastraße
60212;Parschlug;Bergsiedlung
60212;Parschlug;Bernerweg
60212;Parschlug;Brachäckerweg
60212;Parschlug;Brunnerweg
60212;Parschlug;Dr.-Franz-Unger-Siedlung
60212;Parschlug;Edelmannweg
60212;Parschlug;Feldweg
60212;Parschlug;Göritz
60212;Parschlug;Göritzer Straße
60212;Parschlug;Gösslweg
60212;Parschlug;Haritzmeierstraße
60212;Parschlug;In der Grube
60212;Parschlug;Johann Graf-Gasse
60212;Parschlug;Käferweg
60212;Parschlug;Kieneggerweg
60212;Parschlug;Klaworaweg
60212;Parschlug;Knappenweg
60212;Parschlug;Leopold von Leonstein Siedlung
60212;Parschlug;Parschlug Hauptstraße
60212;Parschlug;Peter-Rosegger-Siedlung
60212;Parschlug;Pogier Hauptstraße
60212;Parschlug;Pönegg
60212;Parschlug;Rainäckerweg
60212;Parschlug;Randweg
60212;Parschlug;Riedmoor
60212;Parschlug;Schattleitenweg
60212;Parschlug;Sonnbergweg
60212;Parschlug;Sonnleitenstraße
60212;Parschlug;Steinlaubweg
60212;Parschlug;Viktringer Gassl
60212;Parschlug;Waldweg
60212;Parschlug;Weinbergweg
60212;Parschlug;Weinkorbweg
60213;Pernegg an der Mur;Adam Mölck-Weg
60213;Pernegg an der Mur;Allee
60213;Pernegg an der Mur;Am Hang
60213;Pernegg an der Mur;Am Hofacker
60213;Pernegg an der Mur;Am Kaserbach
60213;Pernegg an der Mur;Am Kirchkogel
60213;Pernegg an der Mur;Am Klammweg
60213;Pernegg an der Mur;Am Murfeld
60213;Pernegg an der Mur;Am Stausee
60213;Pernegg an der Mur;Am Teichbach
60213;Pernegg an der Mur;Am Wiesengrund
60213;Pernegg an der Mur;Antoniaweg
60213;Pernegg an der Mur;Auweg
60213;Pernegg an der Mur;Bachweg
60213;Pernegg an der Mur;Badgasse
60213;Pernegg an der Mur;Bahnstraße
60213;Pernegg an der Mur;Bärenschütz
60213;Pernegg an der Mur;Biogasse
60213;Pernegg an der Mur;Birkenweg
60213;Pernegg an der Mur;Blumengasse
60213;Pernegg an der Mur;Breitlerweg
60213;Pernegg an der Mur;Brückenweg
60213;Pernegg an der Mur;Brucker Straße
60213;Pernegg an der Mur;Brunnengasse
60213;Pernegg an der Mur;Buchenweg
60213;Pernegg an der Mur;Bundesstraße
60213;Pernegg an der Mur;Burgstall
60213;Pernegg an der Mur;Dörfl
60213;Pernegg an der Mur;Eichenweg
60213;Pernegg an der Mur;Eisenpaßstraße
60213;Pernegg an der Mur;E-Werkstraße
60213;Pernegg an der Mur;Feisterergraben
60213;Pernegg an der Mur;Feldweg
60213;Pernegg an der Mur;Fichtengasse
60213;Pernegg an der Mur;Fliedergasse
60213;Pernegg an der Mur;Flurweg
60213;Pernegg an der Mur;Franzensweg
60213;Pernegg an der Mur;Gabraun
60213;Pernegg an der Mur;Gartenweg
60213;Pernegg an der Mur;Gewerbestraße
60213;Pernegg an der Mur;Göberlmoar
60213;Pernegg an der Mur;Grazer Straße
60213;Pernegg an der Mur;Gscheidbacherweg
60213;Pernegg an der Mur;Haydngasse
60213;Pernegg an der Mur;Heitzerweg
60213;Pernegg an der Mur;Heubergstraße
60213;Pernegg an der Mur;Hofackerstraße
60213;Pernegg an der Mur;Industriestraße
60213;Pernegg an der Mur;Jobstmanngasse
60213;Pernegg an der Mur;Karnerberg
60213;Pernegg an der Mur;Kirchdorf
60213;Pernegg an der Mur;Klammweg
60213;Pernegg an der Mur;Köllersdorf
60213;Pernegg an der Mur;Kötscherstraße
60213;Pernegg an der Mur;Lärchenweg
60213;Pernegg an der Mur;Leitnergasse
60213;Pernegg an der Mur;Liliengasse
60213;Pernegg an der Mur;Lindenplatz
60213;Pernegg an der Mur;Lindenweg
60213;Pernegg an der Mur;Mautstatt
60213;Pernegg an der Mur;Max Mell-Weg
60213;Pernegg an der Mur;Mendelgasse
60213;Pernegg an der Mur;Mittelweg
60213;Pernegg an der Mur;Mixnitz
60213;Pernegg an der Mur;Moscherweg
60213;Pernegg an der Mur;Mozartgasse
60213;Pernegg an der Mur;Murweg
60213;Pernegg an der Mur;Nelkengasse
60213;Pernegg an der Mur;Neubaugasse
60213;Pernegg an der Mur;Neue Welt
60213;Pernegg an der Mur;Pernegg
60213;Pernegg an der Mur;Petersweg
60213;Pernegg an der Mur;Pfarrweg
60213;Pernegg an der Mur;Pretschgraben
60213;Pernegg an der Mur;Quellenweg
60213;Pernegg an der Mur;Rannerweg
60213;Pernegg an der Mur;Roseggerstraße
60213;Pernegg an der Mur;Rosengasse
60213;Pernegg an der Mur;Roßgraben
60213;Pernegg an der Mur;Rudorferweg
60213;Pernegg an der Mur;Schafferwerke
60213;Pernegg an der Mur;Schloßberg
60213;Pernegg an der Mur;Schloßstraße
60213;Pernegg an der Mur;Schubertgasse
60213;Pernegg an der Mur;Seebachstraße
60213;Pernegg an der Mur;Sonnenweg
60213;Pernegg an der Mur;Sportplatzgasse
60213;Pernegg an der Mur;Traföß
60213;Pernegg an der Mur;Tulpengasse
60213;Pernegg an der Mur;Waldweg
60213;Pernegg an der Mur;Weidenweg
60213;Pernegg an der Mur;Wiesenweg
60213;Pernegg an der Mur;Zatsch
60213;Pernegg an der Mur;Zlatten
60214;Sankt Ilgen;St. Ilgen
60215;Sankt Katharein an der Laming;Hüttengraben
60215;Sankt Katharein an der Laming;Niederdorf
60215;Sankt Katharein an der Laming;Oberdorf
60215;Sankt Katharein an der Laming;Obertal
60215;Sankt Katharein an der Laming;Rastal
60215;Sankt Katharein an der Laming;St. Katharein an der Laming
60215;Sankt Katharein an der Laming;Untertal
60216;Sankt Lorenzen im Mürztal;Alt-Hadersdorf
60216;Sankt Lorenzen im Mürztal;Am Moos
60216;Sankt Lorenzen im Mürztal;Am Stollingbach
60216;Sankt Lorenzen im Mürztal;Am Straßenfeld
60216;Sankt Lorenzen im Mürztal;Am Weinberg
60216;Sankt Lorenzen im Mürztal;Anton Pirchegger-Weg
60216;Sankt Lorenzen im Mürztal;August Musger-Weg
60216;Sankt Lorenzen im Mürztal;Bachweg
60216;Sankt Lorenzen im Mürztal;Beuttnerweg
60216;Sankt Lorenzen im Mürztal;Bundesstraße
60216;Sankt Lorenzen im Mürztal;Dr. Reinhard Machold-Straße
60216;Sankt Lorenzen im Mürztal;Dunklweg
60216;Sankt Lorenzen im Mürztal;Edelackerstraße
60216;Sankt Lorenzen im Mürztal;Eichenweg
60216;Sankt Lorenzen im Mürztal;Erlenweg
60216;Sankt Lorenzen im Mürztal;Erzherzog Johann-Weg
60216;Sankt Lorenzen im Mürztal;Festwiesenweg
60216;Sankt Lorenzen im Mürztal;Flurgasse
60216;Sankt Lorenzen im Mürztal;Fuscht
60216;Sankt Lorenzen im Mürztal;Gärtnerweg
60216;Sankt Lorenzen im Mürztal;Gassing
60216;Sankt Lorenzen im Mürztal;Grenzstraße
60216;Sankt Lorenzen im Mürztal;Hans Kloepfer-Gasse
60216;Sankt Lorenzen im Mürztal;Hauptstraße
60216;Sankt Lorenzen im Mürztal;Haydngasse
60216;Sankt Lorenzen im Mürztal;Heimsiedlung
60216;Sankt Lorenzen im Mürztal;Herrenbergweg
60216;Sankt Lorenzen im Mürztal;Hofäckerweg
60216;Sankt Lorenzen im Mürztal;Hugo Wolf-Straße
60216;Sankt Lorenzen im Mürztal;Jaxstraße
60216;Sankt Lorenzen im Mürztal;Johannesweg
60216;Sankt Lorenzen im Mürztal;Joseph Ressel-Weg
60216;Sankt Lorenzen im Mürztal;Karl Morre-Straße
60216;Sankt Lorenzen im Mürztal;Kastenfeldweg
60216;Sankt Lorenzen im Mürztal;Klosterweg
60216;Sankt Lorenzen im Mürztal;Kreuzstraße
60216;Sankt Lorenzen im Mürztal;Lesing
60216;Sankt Lorenzen im Mürztal;Lesingerweg
60216;Sankt Lorenzen im Mürztal;Lichtenweg
60216;Sankt Lorenzen im Mürztal;Mittlerer Siedlungsweg
60216;Sankt Lorenzen im Mürztal;Mödersdorf
60216;Sankt Lorenzen im Mürztal;Moosweg
60216;Sankt Lorenzen im Mürztal;Mühlweg
60216;Sankt Lorenzen im Mürztal;Mürzgraben
60216;Sankt Lorenzen im Mürztal;Mürzgrabenstraße
60216;Sankt Lorenzen im Mürztal;Nechelheim
60216;Sankt Lorenzen im Mürztal;Nestroyweg
60216;Sankt Lorenzen im Mürztal;Oberer Siedlungsweg
60216;Sankt Lorenzen im Mürztal;Ottokar Kernstock-Straße
60216;Sankt Lorenzen im Mürztal;Petzoldstraße
60216;Sankt Lorenzen im Mürztal;Pogierstraße
60216;Sankt Lorenzen im Mürztal;Pogusch
60216;Sankt Lorenzen im Mürztal;Poguschstraße
60216;Sankt Lorenzen im Mürztal;Poststraße
60216;Sankt Lorenzen im Mürztal;Quergasse
60216;Sankt Lorenzen im Mürztal;Rainweg
60216;Sankt Lorenzen im Mürztal;Rammersdorferstraße
60216;Sankt Lorenzen im Mürztal;Ritter von Ghega-Weg
60216;Sankt Lorenzen im Mürztal;Roseggerstraße
60216;Sankt Lorenzen im Mürztal;Sackgasse
60216;Sankt Lorenzen im Mürztal;Scheuchenegg
60216;Sankt Lorenzen im Mürztal;Schimplhofstraße
60216;Sankt Lorenzen im Mürztal;Schloßweg
60216;Sankt Lorenzen im Mürztal;Schmiedgasse
60216;Sankt Lorenzen im Mürztal;Schmölzergasse
60216;Sankt Lorenzen im Mürztal;Sonnenweg
60216;Sankt Lorenzen im Mürztal;Späthöhweg
60216;Sankt Lorenzen im Mürztal;Spiegelfeldstraße
